DATAFLOW,LAST UPDATE,freq,frequenc,isced11,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,AL,2022,48.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,AT,2006,82.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,AT,2015,87.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,AT,2022,80.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,BE,2006,85.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,BE,2015,83.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,BE,2022,76.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,BG,2006,49.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,BG,2015,42.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,BG,2022,30.2,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,CH,2015,98.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,CH,2022,94.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,CY,2006,88.2,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,CY,2015,83.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,CY,2022,56.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,CZ,2006,90.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,CZ,2015,90.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,CZ,2022,89.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,DE,2006,95.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,DE,2015,94.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,DE,2022,,u,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,DK,2006,91.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,DK,2015,96.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,DK,2022,86.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,EE,2006,90.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,EE,2015,91.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,EE,2022,85.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,F,PC,EL,2006,80.2,,
